grid_latitude,grid_longitude,runoff_value,runoff_coefficient,elevation_m,drainage_density_km_per_km2,total_population,slope
28.537501,76.9375,0.40000001,0.5912955774096351,211.0,0.0,1975595.0,0.0
28.537501,76.95,0.40000001,0.5912955774096351,211.0,0.0,1975595.0,0.0
28.537501,76.9625,0.40000001,0.5912955774096351,211.0,0.0,1975595.0,0.0
28.537501,76.975,0.40000001,0.5912955774096351,211.0,0.0,1975595.0,0.0
28.537501,76.9875,0.40000001,0.5912955774096351,211.0,0.0,1975595.0,0.0
28.537501,77.0,0.40000001,0.5912955774096351,211.0,0.6946469239048005,1975595.0,0.000409456293047
28.537501,77.025,0.40000001,0.5912955774096351,216.0,0.7472598540208435,419626.0,0.0025597068884632
28.537501,77.0375,0.40000001,0.5912955774096351,218.0,0.8410633488732159,419626.0,0.0016343508565991
28.537501,77.05,0.5470833500661938,0.2439688820308021,219.0,0.0,419626.0,0.0024828804136401
28.537501,77.0625,0.483073300072695,0.3951239967111613,224.0,0.0,419626.0,0.0037545372379371
28.537501,77.075,0.4389361821566194,0.4993506161395568,228.0,0.5934376542206045,207424.0,0.0044617948145537
28.537501,77.0875,0.5022664972251484,0.3498006464410634,233.0,0.9983117103694448,207424.0,0.0051778827958407
28.537501,77.1,0.5193618258123056,0.3094312614249195,235.0,1.6486616853091691,207424.0,0.0035866305659729
28.537501,77.1125,0.5348259554953302,0.2729138349285031,240.0,1.3333077513998448,207424.0,0.0067479631660615
28.537501,77.125,0.5425846994090503,0.2545921209761937,242.0,0.0,61345.0,0.0070176308503969
28.537501,77.1375,0.4390867190614541,0.4989951341001547,256.0,0.0,61345.0,0.0117747535155125
28.537501,77.15,0.4595971366429908,0.4505612628253451,268.0,0.0,53521.0,0.0068504747979508
28.537501,77.1625,0.4271861196366228,0.5270975410035721,269.0,0.0,53521.0,0.01576398978151
28.537501,77.175,0.38559806088389,0.6253047411345096,246.0,0.8851288656500991,35627.0,0.015091059884577
28.537501,77.1875,0.4182027773046644,0.5483110557647388,233.0,1.1031637517502562,35888.0,0.0086429119891141
28.537501,77.2,0.4697707202685307,0.4265370791263027,232.0,0.1213566785997279,35888.0,0.0014231756901801
28.537501,77.2125,0.5385589321005482,0.2640986800127026,230.0,0.0,35888.0,0.0041571606335883
28.537501,77.225,0.5021296961014339,0.3501236924243983,222.0,1.2488260268091802,34169.0,0.0008942888566523
28.537501,77.2375,0.4839852115091345,0.3929705836491917,232.0,0.0,34169.0,0.00837694797297
28.537501,77.25,0.529814680737409,0.2847475987016183,235.0,0.0,50146.0,0.0072562524706223
28.550001,76.85,0.40000001,0.5912955774096351,214.0,0.0,1645532.0,0.0007187064365076
28.550001,76.8625,0.40000001,0.5912955774096351,214.0,0.0,1645532.0,0.0007187064365076
28.550001,76.875,0.40000001,0.5912955774096351,214.0,0.0,1645532.0,0.0007187064365076
28.550001,76.8875,0.40000001,0.5912955774096351,214.0,0.0,1645532.0,0.0007187064365076
28.550001,76.9,0.40000001,0.5912955774096351,214.0,0.0,1645532.0,0.0007187064365076
28.550001,76.9125,0.40000001,0.5912955774096351,214.0,0.1718550375581668,1975595.0,0.0007187064365076
28.550001,76.925,0.40000001,0.5912955774096351,214.0,0.8926333376884018,1975595.0,0.0007187064365076
28.550001,76.9375,0.40000001,0.5912955774096351,214.0,0.0,1975595.0,0.0007187064365076
28.550001,76.95,0.40000001,0.5912955774096351,214.0,0.0,1975595.0,0.0007187064365076
28.550001,76.9625,0.40000001,0.5912955774096351,214.0,0.0,1975595.0,0.0007187064365076
28.550001,76.975,0.40000001,0.5912955774096351,214.0,0.2945786066489985,1975595.0,0.0007187064365076
28.550001,76.9875,0.40000001,0.5912955774096351,214.0,0.8569941700742478,1975595.0,0.0007187064365076
28.550001,77.0,0.40000001,0.5912955774096351,214.0,0.767917936568737,1975595.0,0.0008271598381167
28.550001,77.0125,0.40000001,0.5912955774096351,215.0,1.0556578564252552,1975595.0,0.0008942888566523
28.550001,77.025,0.40000001,0.5912955774096351,212.0,0.2592371820416277,419626.0,0.0041393469406461
28.550001,77.0375,0.40000001,0.5912955774096351,212.0,0.0,419626.0,0.002954929319248
28.550001,77.05,0.5490520669907606,0.2393198990580302,219.0,0.7791974025681578,419626.0,0.0032953027044689
28.550001,77.0625,0.4554687626324404,0.4603101201855806,220.0,2.2588228000157247,419626.0,0.0025015029812904
28.550001,77.075,0.5894360303613095,0.1439560832956188,224.0,4.413868262825476,207424.0,0.0036252427322418
