lon,lat
28.550001,77.1
28.550001,77.1125
28.550001,77.125
28.550001,77.1375
28.550001,77.15
28.550001,77.1625
28.550001,77.175
28.550001,77.1875
28.550001,77.2
28.550001,77.2125
28.550001,77.225
28.550001,77.2375
28.550001,77.25
28.562501,76.85
28.562501,76.8625
28.562501,76.875
28.562501,76.8875
28.562501,76.9
28.562501,76.9125
28.562501,76.925
28.562501,76.9375
28.562501,76.95
28.562501,76.9625
28.562501,76.975
28.562501,76.9875
28.562501,77.0
28.562501,77.0125
28.562501,77.025
28.562501,77.0375
28.562501,77.05
28.562501,77.0625
28.562501,77.075
28.562501,77.0875
28.562501,77.1
28.562501,77.1125
28.562501,77.125
28.562501,77.1375
28.562501,77.15
28.562501,77.1625
28.562501,77.175
28.562501,77.1875
28.562501,77.2
28.562501,77.2125
28.562501,77.225
28.562501,77.2375
28.562501,77.25
28.575001,76.85
28.575001,76.8625
28.575001,76.875
28.575001,76.8875
28.575001,76.9
28.575001,76.9125
28.575001,76.925
28.575001,76.9375
28.575001,76.95
28.575001,76.9625
28.575001,76.975
28.575001,76.9875
28.575001,77.0
28.575001,77.0125
28.575001,77.025
28.575001,77.0375
28.575001,77.05
28.575001,77.0625
28.575001,77.075
28.575001,77.0875
28.575001,77.1
28.575001,77.1125
28.575001,77.125
28.575001,77.1375
28.575001,77.15
28.575001,77.1625
28.575001,77.175
28.575001,77.1875
28.575001,77.2
28.575001,77.2125
28.575001,77.225
28.575001,77.2375
28.575001,77.25
28.587501,76.85
28.587501,76.8625
28.587501,76.875
28.587501,76.8875
28.587501,76.9
28.587501,76.9125
28.587501,76.925
28.587501,76.9375
28.587501,76.95
28.587501,76.9625
28.587501,76.975
28.587501,76.9875
28.587501,77.0
28.587501,77.0125
28.587501,77.025
28.587501,77.0375
28.587501,77.05
28.587501,77.0625
28.587501,77.075
28.587501,77.0875
28.587501,77.1
28.587501,77.1125
28.587501,77.125
28.587501,77.1375
28.587501,77.15
28.587501,77.1625
28.587501,77.175
28.587501,77.1875
28.587501,77.2
28.587501,77.2125
28.587501,77.225
28.587501,77.2375
28.587501,77.25
28.600001,76.85
28.600001,76.8625
28.600001,76.875
28.600001,76.8875
28.600001,76.9
28.600001,76.9125
28.600001,76.925
28.600001,76.9375
28.600001,76.95
28.600001,76.9625
28.600001,76.975
28.600001,76.9875
28.600001,77.0
28.600001,77.0125
28.600001,77.025
28.600001,77.0375
28.600001,77.05
28.600001,77.0625
28.600001,77.075
28.600001,77.0875
28.600001,77.1
28.600001,77.1125
28.600001,77.125
28.600001,77.1375
28.600001,77.15
28.600001,77.1625
28.600001,77.175
28.600001,77.1875
28.600001,77.2
28.600001,77.2125
28.600001,77.225
28.600001,77.2375
28.600001,77.25
28.612501,76.85
28.612501,76.8625
28.612501,76.875
28.612501,76.8875
28.612501,76.9
28.612501,76.9125
28.612501,76.925
28.612501,76.9375
28.612501,76.95
28.612501,76.9625
28.612501,76.975
28.612501,76.9875
28.612501,77.0
28.612501,77.0125
28.612501,77.025
28.612501,77.0375
28.612501,77.05
28.612501,77.0625
28.612501,77.075
28.612501,77.0875
28.612501,77.1
28.612501,77.1125
28.612501,77.125
28.612501,77.1375
28.612501,77.15
28.612501,77.1625
28.612501,77.175
28.612501,77.1875
28.612501,77.2
28.612501,77.2125
28.612501,77.225
28.612501,77.2375
28.612501,77.25
28.625001,76.85
28.625001,76.8625
28.625001,76.875
28.625001,76.8875
